Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Project Manager for two HR related projects,Prosjektledelse,"Proven experience leading projects using structured methodologies; Certifications such as PMP, PRINCE2, or familiarity with agile methodologies; Strong understanding of IT environments; Experience with system integration and data migration processes; Proficiency in managing projects with interdependencies and reliance on the organization’s existing teams; Competence in change management.","Experienced IT Project Manager in large, complex organizations; Demonstrated success in managing IT Implementation Projects; Exceptional stakeholder management skills in complex political landscapes; Ability to manage multiple projects simultaneously.",Exceptional stakeholder management skills; Strong documentation and administrative skills; Ability to articulate complex information clearly and concisely; Skills in identifying and managing project risks.,Statkraft,Offentlig og stat,2024
Project manager for Fremtidens Salgsverktøy project,Prosjektledelse,N/A,"Have the expertise, skill and capacity to perform all obligations and supply all services with a high level of dependability and professionalism, as is expected by reputable contractors within corresponding or similar business sectors.","Adopt reasonable and appropriate standards of professional and social behaviour and abide by the relevant safety and security standards, rules, regulations, regulatory compliance and fraud-prohibiting measures, applicable to Contractor and the resources of Customer.",Tine,Handel og industri,2023
Project Support & IT Coordinator,Ingen,,,,ICE Communication Norge AS,Handel og industri,2022
Prosessleder for oppfølgingsplan autorisasjonsprøven,Prosessledelse og fasilitering,"Dokumentert erfaring i roller som prosess-, prosjekt- og endringsledelse; Dokumentert erfaring og formell kompetanse som prosjektleder; Kompetanse og erfaring med arbeidsprosesser med mange aktører men ulike interesser og faglige ståsteder fortirinnsviss på tvers av organisasjoner; Arbeid i større offentlig virksomheter",Erfaring med prosess- og prosjektledelse,Svært gode kommunikasjonsferdigheter og samarbeidsevner. En sterk lagspiller; Selvgående,OsloMet,Offentlig og stat,2021
Programleder for Schiffer programmet,Programledelse,,,,NVE,Offentlig og stat,2025
Prosjektleder for tilhørende prosjekter under Schiffer programmet,Prosjektledelse,,,,NVE,Offentlig og stat,2025
Prosjektleder,Prosjektledelse,"Erfaren prosjektleder for samhandlingsløsninger, samarbeide med tekniske og ikke-tekniske ressurser",Erfaring med ledelse av prosjekter for diverse samhandlingsløsninger,,Utenriksdepartementet,Offentlig og stat,2022
Prosjektledelse samhandlingsløsninger,Prosjektledelse,"Kompetanse i ledelse av prosjektmetodikk, koordinering, utarbeidelse av tidsplaner og prosjektdokumentasjon","Erfaring med Microsoft 365, SharePoint, Power Platform, Teams","Samarbeidsevne, planlegging, rapportering og oppfølging",Utenriksdepartementet,Offentlig og stat,2023
Prosjektleder for Norsk Helsearkiv,Prosjektledelse,,,,Arkivverket,Offentlig og stat,2018
Prosjektleder/prosessdriver,Prosjektledelse,Over gjennomsnittlig interessert i teknologi,Erfaring fra å etablere rutiner og strukturer fra andre prosjekter,"Strukturert, gode koordineringsegenskaper og gode kommunikasjonsevner, God prosessdriver og være pro-aktiv",Fremtind Forsikring AS,Bank og forsikring,2022
Prosjektleder for offentlige anskaffelser,Prosjektledelse,"Spisskompetanse på IKT-anskaffelser, erfaring med offentlige anskaffelser og ulike kontraktstandarder som SSA og PS 2000.","Lang erfaring med gjennomføring av offentlige anskaffelser, erfaring fra både leverandørsiden og med store og komplekse IKT-anskaffelser.","Metodisk tilnærming, evne til å følge anskaffelsesregler, god kommunikasjon med kunder, evne til planlegging og gjennomføring.",Lånekassen,Offentlig og stat,2022
Prosjektleder analyse- og planleggingsfasen av teknisk konvertering,Prosjektledelse,"Erfaring med konvertering av finansielle produkter, god teknisk forståelse av back- og front-end løsninger, forståelse for forsikringsprodukter.",Erfaring fra prosjekter med stor bredde forretningsmessig og teknisk.,"Beviste evner som prosjektleder, god forretningsforståelse, evne til å kommunisere effektivt med teknikere og forretningsressurser.",Fremtind Forsikring AS,Bank og forsikring,2024
Prosjektleder Customer Success Center,Prosjektledelse,,,,Handelsbanken,Bank og forsikring,2023
Prosjektleder Digitale transformasjoner,Prosjektledelse,"Erfaring som prosjektleder for digitale transformasjoner, god forståelse for både forretning og teknologi, erfaring med å lede skydataplattformprosjekter, erfaring fra finans/forsikringsbransjen er en fordel","Erfaring med å lede store prosjekter med flere ulike team, erfaring med å lede skydataplattformprosjekter, inkludert Snowflake og/eller Databricks","Sterke kommunikasjonsevner, god til å kommunisere og forankre effektivt både med teknikere, data- og ML-ressurser og forretningsressurser",Fremtind Forsikring AS,Bank og forsikring,2024
Prosjektleder for digitaliseringsprosjekter,Prosjektledelse,"Sterk digital kompetanse og interesse, erfaring med leverandørdialog og anskaffelse av hyllevare, SAAS-tjenester og skyløsninger, erfaring med å lede prosjekter fra A til Å, erfaring fra endringsledelse, erfaring fra prosjekter innenfor administrative funksjoner som HR, kommunikasjon og økonomi er en fordel.","Minimum 5-10 års erfaring som prosjektleder, erfaring med smidig og mer planorientert prosjektgjennomføring.","Proaktiv prosessdriver, hands on 'do-er', analytisk og strukturert, kan jobbe selvstendig med stor gjennomføringsevne.",NGI,Handel og industri,2022
Prosjektleder Foreningsavtaler,Prosjektledelse,,,,Handelsbanken,Bank og forsikring,2023
Prosjektleder Forprosjekt Medlemssystem,Prosjektledelse,,,,LoFavør,Bank og forsikring,2023
Prosjektleder IT/Trace,Prosjektledelse,"Kjent med selskapets forretningsidé, verdier og strategier; sikrer gode interne arbeidsrutiner; gode relasjoner til leverandører og kunder.","Ansvarlig for vellykket overgang til nytt WMS, TMS, OMS/MDM. Prosjektet skal gjennomføres i henhold til plan og budsjett.","Evne til å effektivt gjennomføre prosesser og optimalisere, sikre økt kvalitet og forbedret fortjeneste.",K. Ekrheim AS,Handel og industri,2019
Prosjektleder LØFT,Prosjektledelse,,,,Sparebank 1 Utvikling,Bank og forsikring,2023
Prosjektleder Migreringsprosjekt Sparing og Plassering,Prosjektledelse,,,,Handelsbanken,Bank og forsikring,2022
Prosjektleder outsourcing Stormaskin - fisjon fondsprodukter,Prosjektledelse,,,,Verdipapirsentralen,Bank og forsikring,2022
Project support One IT – IT Operations,Prosjektledelse,Technical support in ServiceNow (e.g. upload of templates),"Support Steering committee and weekly project meetings, Support OCM team with various activities",Facilitate team communication,Santander,Bank og forsikring,2020
Project support One IT – IT Operations,Prosjektledelse,Technical support in ServiceNow (e.g. upload of templates),"Support Steering committee and weekly project meetings, Support OCM team with various activities",Facilitate team communication,Santander,Bank og forsikring,2021
Prosjektstøtte til Data- og analyse prosjekter,Prosjektledelse,Teknisk bakgrunn med interesse for prosjektledelse eller prosjektleder med teknologiinteresse,1-2 års erfaring fra enten data/IT eller prosjektledelse,"Selvgående og proaktiv, Strukturert, Evner å ta eierskap og ansvar til egne oppgaver, Gode skriftlige og muntlige kommunikasjonsevner, Evner å være en brobygger mellom forretningssiden og tekniske miljøer",Sparebank 1 Utvikling,Bank og forsikring,2022
Programleder,Programledelse,Særdeles erfarne programledere med dokumentert erfaring fra ledelse av programmer,ukjent,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Senior prosjektleder,Prosjektledelse,Senior Prosjektleder med over 5 års erfaring,5 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Junior prosjektleder,Prosjektledelse,Junior Prosjektleder under 5 års erfaring,under 5 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Testleder,Test og kvalitetsikring,Ansvar for testplanlegging og testgjennomføring på større løsninger over 5 års erfaring,over 5 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Tester,Test og kvalitetsikring,Tester som utfører testing av ulik art,ukjent,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Junior tester,Test og kvalitetsikring,Tester med under 1 års erfaring,under 1 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Produktteamleder,Lede agilt team,Erfaren smidig teamleder med dokumentert erfaring og praksis,ukjent,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Arkitekt,Arkitektur og utvikling,Arkitekter med minst 10 års relevant erfaring og minst 5 år som arkitekt,10 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Senior utvikler,Utviklingsrolle,Senior utvikler med over 5 års erfaring,over 5 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Utvikler,Utviklingsrolle,Utvikler med under 5 års erfaring,under 5 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Junior utvikler,Utviklingsrolle,Utvikler med under 1 års erfaring,under 1 års erfaring,ukjent,Eika Gruppen AS,Bank og forsikring,2024
Prosjektleder digitaliseringsprosjekter,Prosjektledelse,"Kjennskap til DIFIs prosjektveiviser og KS' Samveismetodikk, erfaring fra offentlig sektor","Erfaring med prosjektstyring, utarbeidelse av styringsdokumenter, faglige utredninger, og presentasjoner","God prosessforståelse, evne til å involvere ansatte, innbyggere, politikere og næringsliv",Lørenskog kommune,Kommuner,2017
Tjenestedesigner/prosessutvikler,Tjenestedesign,"God kjennskap til Samveismetodikk, erfaring med tjenestereiser/brukerreiser og prosessarbeid","Erfaring med fagområder i kommunalt tjenestespekter, særlig oppvekst og helse, saksbehandlingsflyt","Evne til å gjennomføre tidlig fase, gjennomføringsfase, innføring/opplæring og evaluering av prosjekter",Lørenskog kommune,Kommuner,2017
Strategisk rådgiver innen IKT og digitalisering,Rådgivning teknisk,"Kompetanse innen virksomhetsarkitektur, informasjonsarkitektur, løsningsarkitektur/løsningsdesign","Erfaring med IKT-strategi, virksomhetsstrategi, IT-governance, kravspesifisering og IT-anskaffelser","Evne til strategisk tenkning og utvikling, rådgivning, og faglig ledelse",Lørenskog kommune,Kommuner,2017
Teknisk rådgiver/konsulent,Rådgivning teknisk,Teknisk rådgivning og bistand til design og utviklingsprosjekter,Erfaring med tekniske oppgaver og problemløsning innen perioder med høy aktivitet,Gode tekniske ferdigheter og evne til å bidra til driftsoppgaver,Lørenskog kommune,Kommuner,2017
Konsulent informasjonsikkerhet og personvern,Informasjonssikkerhet og personvern,"Etablering av styringssystemer/rutiner og opplæring, samt teknisk informasjonssikkerhet",Erfaring med gjennomføring av ROS-analyser,Detaljorientert og godt kjennskap til sikkerhetsprosedyrer og regelverk,Lørenskog kommune,Kommuner,2017
Sourcing Assistance,Rådgivning teknisk,"IT Sourcing & Vendor Management experience > 8 years, IT Contracting using SSA experience, knowledge about T&M contracts, bonus malus schemes, and ERP/CRM project sourcing",Senior (15+ Years),"Very good communication skills, structured way of working, team player, commercial attitude, reliable, passionate about creating and delivering value",Statkraft,Offentlig og stat,2022
ROS-analyse ved migrering av IKT-løsning,Rådgivning teknisk,"God forståelse for informasjonsteknologi, IT-arkitektur og skyløsninger og typiske sårbarheter, samt informasjonssikkerhet og personvern.","Erfaring med risikoanalyser og ROS-metodikk, prosjektledelse i migreringsprosjekter, erfaring med skyløsninger, tidligere jobb hos pasientsky.",Analytiske evner og gode kommunikasjonsferdigheter.,Sykehusinnkjøp,Helse,2023
Rådgiver og prosjektleder for digitaliseringsprogram,Prosjektledelse,,,,LO,Bank og forsikring,2021
Prosjektleder eller Teknisk ekspert for AVL kartlegging,Prosjektledelse,"Kompetanse innen IT-governance, styringsmodeller, sourcing, arkitektur, og prosjektledelse.","Erfaring som IT-leder med over 25 år i systemutvikling, arkitektur og IT-ledelse fra større selskaper.",Kommuniserer tekniske problemstillinger klart og strukturert til både IT-fagpersoner og ledelse.,Sparebank 1 Utvikling,Bank og forsikring,2022
Prosjektstøtte for AVL kartlegging,Prosjektledelse,"Kompetanse i prosjektrisiko, kundereiser og kommunikasjon.",Erfaring som assisterende prosjektleder og fra PMO.,Forstår hvordan endringer påvirker organisasjonen og viktigheten av kommunikasjon.,Sparebank 1 Utvikling,Bank og forsikring,2022
Prosjektleder for AVL kartlegging,Prosjektledelse,"Kompetanse i analyser, strategiarbeid med teknologi og IKT, og leverandørstyring.","Over 20 års erfaring i industrielle og offentlige sektorer, samt konsulentarbeid.","Har erfaring fra komplekse, tverr-faglige miljøer og kommunikasjon med myndigheter.",Sparebank 1 Utvikling,Bank og forsikring,2022
Teknisk ekspert for AVL kartlegging,Rådgivning teknisk,Kompetanse i etablering og kvalitetssikring av virksomhetskritiske løsninger.,"25 års erfaring med fokus på samhandling, virksomhetssøk og skybaserte løsninger.",Kan håndtere prosjekter med høy grad av teknisk kompleksitet.,Sparebank 1 Utvikling,Bank og forsikring,2022
Senior Project Manager,Prosjektledelse,Erfaring med markedsundersøkelser og tilpasning av tekniske løsninger for SMB markedet.,"3 til 30 års konsulenterfaring, erfaring fra toppledelse både lokalt og internasjonalt.","Evne til godt samarbeid og arbeidsmetodikk, motivert for oppdraget.",Avarn Security AS,Handel og industri,2024
PMO,Programledelse,Erfaring med prosjektledelse og IT-arkitektur.,"3 til 30 års konsulenterfaring, erfaring fra store ledende konsulentselskaper.",Godt samarbeid og en god arbeidsmetodikk.,Avarn Security AS,Handel og industri,2024
